UserID, Technique, M_FACTOR, PATH_LENGTH, PATH_ID, FLAG1, FLAG2, FLAG3, FLAG4, FLAG5, RANDOM_F_OFFSET, _T_TCT,  _AVG_DEVIATION, _REAL_DIST_TRAVELLED, _VIRT_DIST_TRAVELLED
100,HOMOGENEOUS,M_NONE,4,Path_NP1_2_1_2_B_Sym,0,5,3,4,2,1,8.546,0.154,4.819,4.819
0,NAVIFIELD,M_2,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,1,5.947,0.270,3.190,6.076
0,HOMOGENEOUS,M_2,2,Path_NP2_1_B,0,2,3, -1, -1,0,6.424,0.433,3.426,6.853
0,NAVIFIELD,M_4,2,Path_NP1_2_A,0,1,3, -1, -1,3,12.037,0.461,3.966,12.972
0,HOMOGENEOUS,M_4,2,Path_NP1_2_B,0,1,5, -1, -1,3,9.531,0.852,3.703,14.811
0,NAVIFIELD,M_8,2,Path_NP2_1_A,0,2,1, -1, -1,0,14.460,1.689,4.955,33.647
0,HOMOGENEOUS,M_8,2,Path_NP2_1_B,0,2,3, -1, -1,1,14.677,1.441,4.420,35.357
0,NAVIFIELD,M_2,4,Path_NP2_1_2_1_A_Sym,0,4,5,1,2,1,13.899,0.237,5.965,11.306
0,HOMOGENEOUS,M_2,4,Path_NP1_2_1_2_C_Sym,0,5,3,2,4,4,16.773,0.340,6.680,13.359
0,NAVIFIELD,M_4,4,Path_NP2_1_2_1_E,0,2,3,5,4,0,22.479,0.749,8.330,29.049
0,HOMOGENEOUS,M_4,4,Path_NP2_1_2_1_A_Sym,0,4,5,1,2,1,15.210,0.776,7.179,28.718
0,NAVIFIELD,M_8,4,Path_NP1_2_1_2_A_Sym,0,5,3,4,0,4,28.807,1.363,10.339,66.821
0,HOMOGENEOUS,M_8,4,Path_NP2_1_2_1_E,0,2,3,5,4,0,25.578,2.173,8.869,70.950
0,HOMOGENEOUS,M_NONE,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,4.069,0.141,2.291,2.291
0,HOMOGENEOUS,M_NONE,4,Path_NP2_1_2_1_C_Sym,0,4,5,3,2,1,9.271,0.128,4.717,4.717
